custom_layout_1,astar,0.063,946,446
custom_layout_2,astar,0.047,946,446
mediumMaze,astar,0.312,9481,420
bigMaze,astar,1.229,52085,70
custom_layout_3,astar,0.016,258,468
custom_layout_1,astar,0.066,946,446
custom_layout_2,astar,0.047,946,446
mediumMaze,astar,0.325,9481,420
bigMaze,astar,1.186,52085,70
custom_layout_3,astar,0.031,258,468
custom_layout_1,astar,0.047,946,446
custom_layout_2,astar,0.048,946,446
mediumMaze,astar,0.235,9481,420
bigMaze,astar,1.986,52085,70
custom_layout_3,astar,0.022,258,468
custom_layout_1,astar,0.048,946,446
custom_layout_2,astar,0.062,946,446
mediumMaze,astar,0.259,9481,420
bigMaze,astar,1.219,52085,70
custom_layout_3,astar,0.025,258,468
custom_layout_1,astar,0.056,946,446
custom_layout_2,astar,0.064,946,446
mediumMaze,astar,0.319,9481,420
bigMaze,astar,1.216,52085,70
custom_layout_3,astar,0.032,258,468
