custom_layout_1,dstar,0.063,1271,446.0
custom_layout_2,dstar,0.078,1271,446.0
mediumMaze,dstar,0.16,3484,416.0
bigMaze,dstar,0.987,12764,62.0
custom_layout_3,dstar,0.015,898,468.0
custom_layout_1,dstar,0.061,1271,446.0
custom_layout_2,dstar,0.063,1271,446.0
mediumMaze,dstar,0.172,3484,416.0
bigMaze,dstar,0.68,12764,62.0
custom_layout_3,dstar,0.031,898,468.0
custom_layout_1,dstar,0.062,1271,446.0
custom_layout_2,dstar,0.064,1271,446.0
mediumMaze,dstar,0.168,3484,416.0
bigMaze,dstar,1.052,12764,62.0
custom_layout_3,dstar,0.032,898,468.0
custom_layout_1,dstar,0.061,1271,446.0
custom_layout_2,dstar,0.092,1271,446.0
mediumMaze,dstar,0.163,3484,416.0
bigMaze,dstar,0.907,12764,62.0
custom_layout_3,dstar,0.024,898,468.0
custom_layout_1,dstar,0.064,1271,446.0
custom_layout_2,dstar,0.077,1271,446.0
mediumMaze,dstar,0.168,3484,416.0
bigMaze,dstar,0.766,12764,62.0
custom_layout_3,dstar,0.016,898,468.0
