custom_layout_1,lastar,0.266,9236,446.0
custom_layout_2,lastar,0.281,9236,446.0
mediumMaze,lastar,0.425,19151,358.0
bigMaze,lastar,5.777,263981,94.0
custom_layout_3,lastar,0.113,3564,468.0
custom_layout_1,lastar,0.281,9236,446.0
custom_layout_2,lastar,0.25,9236,446.0
mediumMaze,lastar,0.391,19151,358.0
bigMaze,lastar,5.774,263981,94.0
custom_layout_3,lastar,0.109,3564,468.0
custom_layout_1,lastar,0.266,9236,446.0
custom_layout_2,lastar,0.264,9236,446.0
mediumMaze,lastar,0.547,19151,358.0
bigMaze,lastar,5.797,263981,94.0
custom_layout_3,lastar,0.099,3564,468.0
custom_layout_1,lastar,0.257,9236,446.0
custom_layout_2,lastar,0.267,9236,446.0
mediumMaze,lastar,0.544,19151,358.0
bigMaze,lastar,5.867,263981,94.0
custom_layout_3,lastar,0.12,3564,468.0
custom_layout_1,lastar,0.28,9236,446.0
custom_layout_2,lastar,0.264,9236,446.0
mediumMaze,lastar,0.488,19151,358.0
bigMaze,lastar,7.548,263981,94.0
custom_layout_3,lastar,0.12,3564,468.0
mediumMaze,lastar,0.56,19151,358.0
